name,price,total_price,distributor,has_voucher
Cadbury Curly Wurly,5.0,7.0,BENSONS TRADING CO PTY LTD,False
TNT / KA Bluey $10,10.0,14.25,BENSONS TRADING CO PTY LTD,False
NRL Brisbane Broncos,30.0,68.6,BENSONS TRADING CO PTY LTD,False
Hot Wheels,32.0,64.55,BENSONS TRADING CO PTY LTD,False
Trolli,6.0,9.35,BENSONS TRADING CO PTY LTD,False
Big Boss Super Bag,10.0,16.95,HUNTER LEISURE P/L,False
Wizz Fizz $10 Bag,10.0,14.7,HUNTER LEISURE P/L,False
Smiths Supersnack Bag 2,12.0,18.03,HUNTER LEISURE P/L,False
Bertie Beetle Retro,18.0,34.0,CHICANE MARKETING PTY LTD,False
Play-Doh Bag,30.0,44.7,HUNTER LEISURE P/L,False
Bluey,32.0,71.55,BENSONS TRADING CO PTY LTD,False
Butterbean's Cafe,32.0,69.6,BENSONS TRADING CO PTY LTD,False
AFL Essendon Showbag,30.0,87.91,CHICANE MARKETING PTY LTD,False
NRL Newcastle Knights,30.0,73.65,BENSONS TRADING CO PTY LTD,False
Maltesers® Super Bag,10.0,12.35,HUNTER LEISURE P/L,False
The Little Mermaid Bag,35.0,65.7,HUNTER LEISURE P/L,False
Fantasy Art Bag,15.0,51.7,HUNTER LEISURE P/L,False
Pokemon,32.0,72.55,BENSONS TRADING CO PTY LTD,False
Star Wars The Empire Strikes Back,30.0,89.93,CHICANE MARKETING PTY LTD,False
Star Wars The Child,30.0,81.85,CHICANE MARKETING PTY LTD,False
TNT / KA Bluey,5.0,7.05,BENSONS TRADING CO PTY LTD,False
Nickelodeon Slime,20.0,34.7,BENSONS TRADING CO PTY LTD,False
Encanto Bag,15.0,37.6,HUNTER LEISURE P/L,False
Pusheen #1,32.0,92.4,BENSONS TRADING CO PTY LTD,False
TWIX® Regular Bag,6.0,6.5,HUNTER LEISURE P/L,False
Ladybug,20.0,39.65,SHOWBAGS AUSTRALIA PTY LD,False
Stella Athletic (Spring),35.0,433.48,CHICANE MARKETING PTY LTD,True
The Simpsons Duff Beer,30.0,81.85,CHICANE MARKETING PTY LTD,False
Star Wars Darth Vader,30.0,79.85,CHICANE MARKETING PTY LTD,False
Guardians of the Galaxy,30.0,71.85,CHICANE MARKETING PTY LTD,False
Toy Story,30.0,76.9,CHICANE MARKETING PTY LTD,False
Avatar,30.0,86.93,CHICANE MARKETING PTY LTD,False
Wizz Fizz Lil Fizz Bag,3.5,5.3,HUNTER LEISURE P/L,False
Batman Bag,30.0,46.6,HUNTER LEISURE P/L,False
Arnott's Shapes,10.0,17.5,CHICANE MARKETING PTY LTD,False
Wagon Wheels,10.0,14.1,CHICANE MARKETING PTY LTD,False
Jumbo Fizz,25.0,32.35,SHOWBAGS AUSTRALIA PTY LD,False
Aftershocks,6.0,8.7,BENSONS TRADING CO PTY LTD,False
Girls Only,32.0,88.4,BENSONS TRADING CO PTY LTD,False
Dinosaur Rules,30.0,90.55,SHOWBAGS AUSTRALIA PTY LD,False
Mega Combat,35.0,45.0,VERITAS MARKETING,False
Yupi Showbag,10.0,18.45,SHOWBAGS AUSTRALIA PTY LD,False
LA Basketball Bag,30.0,41.7,HUNTER LEISURE P/L,False
Ballantynes Bag,12.0,16.85,HUNTER LEISURE P/L,False
Big Boss Super Bag,10.0,16.95,HUNTER LEISURE P/L,False
Bordom Busters,15.0,48.5,BENSONS TRADING CO PTY LTD,False
Wizz Fizz $10 Bag,10.0,14.7,HUNTER LEISURE P/L,False
Smiths Supersnack Bag 2,12.0,18.03,HUNTER LEISURE P/L,False
Bertie Beetle Retro,18.0,34.0,CHICANE MARKETING PTY LTD,False
The Little Mermaid Bag,35.0,65.7,HUNTER LEISURE P/L,False
Fantasy Art Bag,15.0,51.7,HUNTER LEISURE P/L,False
Bertie Beetle 60th Birthday,25.0,66.0,CHICANE MARKETING PTY LTD,False
Bluey,32.0,71.55,BENSONS TRADING CO PTY LTD,False
Butterbean's Cafe,32.0,69.6,BENSONS TRADING CO PTY LTD,False
Pokemon,32.0,72.55,BENSONS TRADING CO PTY LTD,False
Star Wars The Empire Strikes Back,30.0,89.93,CHICANE MARKETING PTY LTD,False
Star Wars The Child,30.0,81.85,CHICANE MARKETING PTY LTD,False
TNT / KA Bluey,5.0,7.05,BENSONS TRADING CO PTY LTD,False
Star Wars Darth Vader,30.0,79.85,CHICANE MARKETING PTY LTD,False
Guardians of the Galaxy,30.0,71.85,CHICANE MARKETING PTY LTD,False
Toy Story,30.0,76.9,CHICANE MARKETING PTY LTD,False
Avatar,30.0,86.93,CHICANE MARKETING PTY LTD,False
Wizz Fizz Lil Fizz Bag,3.5,5.3,HUNTER LEISURE P/L,False
Yupi Showbag,10.0,18.45,SHOWBAGS AUSTRALIA PTY LD,False
Bordom Busters,15.0,48.5,BENSONS TRADING CO PTY LTD,False
Bertie Beetle 60th Birthday,25.0,66.0,CHICANE MARKETING PTY LTD,False
Toxic Waste,10.0,17.25,BENSONS TRADING CO PTY LTD,False
Mars® Family Bag,20.0,30.55,HUNTER LEISURE P/L,False
Beyblades,32.0,81.5,BENSONS TRADING CO PTY LTD,False
Old Style Licorice,10.0,13.0,BENSONS TRADING CO PTY LTD,False
Allen's Sourz,15.0,16.0,CHICANE MARKETING PTY LTD,False
Star Wars Retro,30.0,95.93,CHICANE MARKETING PTY LTD,False
Kinder Surprise,12.0,12.25,CHICANE MARKETING PTY LTD,False
Kids Creation Station,30.0,109.8,CHICANE MARKETING PTY LTD,False
Kids Kitchen,22.0,73.95,CHICANE MARKETING PTY LTD,False
Harry Potter Charms #2,32.0,95.6,BENSONS TRADING CO PTY LTD,False
LOL Surprise #1,32.0,70.6,BENSONS TRADING CO PTY LTD,False
Minecraft Alex Dress up Bag,35.0,40.35,HUNTER LEISURE P/L,False
Minecraft Steve Dressup Bag,35.0,40.35,HUNTER LEISURE P/L,False
Cocomelon,32.0,70.65,BENSONS TRADING CO PTY LTD,False
MARS® Sharing Bag,15.0,20.15,HUNTER LEISURE P/L,False
Nude by Nature Skincare,30.0,130.7,CHICANE MARKETING PTY LTD,True
Sailor Moon,30.0,75.93,CHICANE MARKETING PTY LTD,False
K-Beauty x Style Story,30.0,81.95,C&C MARKETING,True
The Kitty showbag - for the cat lover!,28.0,117.21,C&C MARKETING,True
The Pooch showbag - for the dog lovers!,28.0,118.44,C&C MARKETING,True
Super Sour,20.0,23.75,BENSONS TRADING CO PTY LTD,False
Squishy Things,32.0,72.85,BENSONS TRADING CO PTY LTD,False
Dragonball Z,30.0,71.93,CHICANE MARKETING PTY LTD,False
Pokemon Junior #2,32.0,79.55,BENSONS TRADING CO PTY LTD,False
Nude by Nature Make-Up,30.0,158.6,CHICANE MARKETING PTY LTD,True
Assassins Creed,32.0,91.5,BENSONS TRADING CO PTY LTD,False
Deadpool,30.0,73.73,CHICANE MARKETING PTY LTD,False
Mega Ninja Warrior,30.0,40.0,VERITAS MARKETING,False
Barbie Fab Life,32.0,70.65,BENSONS TRADING CO PTY LTD,False
Unicorn,32.0,84.45,BENSONS TRADING CO PTY LTD,False
Gag Magic,20.0,87.4,SHOWBAGS AUSTRALIA PTY LD,False
Cadbury Indulgence,20.0,26.5,BENSONS TRADING CO PTY LTD,False
TMNT  Retro Showbag,32.0,61.65,BENSONS TRADING CO PTY LTD,False
Fyna Licorice Regular,7.5,11.5,HUNTER LEISURE P/L,False
M&M's® Regular,6.0,6.5,HUNTER LEISURE P/L,False
Western Sydney Wanderers ($15 each or 2 for $20),15.0,80.49,CHICANE MARKETING PTY LTD,False
NRL Dolphins,30.0,68.6,BENSONS TRADING CO PTY LTD,False
Pocky,10.0,15.4,BENSONS TRADING CO PTY LTD,False
The Simpsons BART,30.0,78.86,CHICANE MARKETING PTY LTD,False
The Simpsons HOMER,30.0,86.89,CHICANE MARKETING PTY LTD,False
The Greatest Showbag on Earth,32.0,37.95,BENSONS TRADING CO PTY LTD,False
Smith's Regular Chip Bag,6.0,8.68,HUNTER LEISURE P/L,False
Bertie Beetle Blue,3.0,4.6,CHICANE MARKETING PTY LTD,False
Super Kit Kat,16.0,30.2,CHICANE MARKETING PTY LTD,False
Violet Crumble,15.0,19.0,CHICANE MARKETING PTY LTD,False
Cadbury Picnic,5.0,7.8,BENSONS TRADING CO PTY LTD,False
Zappomungus Superbag,10.0,14.1,BENSONS TRADING CO PTY LTD,False
Cadbury Turkish Delight,5.0,6.0,BENSONS TRADING CO PTY LTD,False
Mentos,10.0,15.6,BENSONS TRADING CO PTY LTD,False
Building Bricks,30.0,64.75,SHOWBAGS AUSTRALIA PTY LD,False
Arnott's Biscuits,15.0,21.65,CHICANE MARKETING PTY LTD,False
Cadbury Caramello Superbag,10.0,16.95,BENSONS TRADING CO PTY LTD,False
Chupa Chups,5.0,6.35,BENSONS TRADING CO PTY LTD,False
Army Action,30.0,68.75,SHOWBAGS AUSTRALIA PTY LD,False
AFL Carlton Showbag,30.0,87.91,CHICANE MARKETING PTY LTD,False
Licorice lovers,10.0,14.0,BENSONS TRADING CO PTY LTD,False
Dynamite Bubble Gum,10.0,15.5,SHOWBAGS AUSTRALIA PTY LD,False
Maltesers® Regular,6.0,6.5,HUNTER LEISURE P/L,False
Scunci Hair Accessories,28.0,89.65,C&C MARKETING,False
Bingo,32.0,62.6,BENSONS TRADING CO PTY LTD,False
Dragonball Super,32.0,80.6,BENSONS TRADING CO PTY LTD,False
Pusheen #2,32.0,72.55,BENSONS TRADING CO PTY LTD,False
Rainbow High,32.0,71.55,BENSONS TRADING CO PTY LTD,False
Mega Swat,35.0,40.0,VERITAS MARKETING,False
Game of Thrones,32.0,62.6,BENSONS TRADING CO PTY LTD,False
Spiderman Bag,30.0,45.6,HUNTER LEISURE P/L,False
Skittles® Family Sharing Bag,16.5,22.38,HUNTER LEISURE P/L,False
NRL St George Dragons,30.0,68.6,BENSONS TRADING CO PTY LTD,False
Ninja Showbag,32.0,46.85,BENSONS TRADING CO PTY LTD,False
The Wiggles Bag,30.0,50.7,HUNTER LEISURE P/L,False
Venom,30.0,76.93,CHICANE MARKETING PTY LTD,False
Mega Fizz,5.0,10.9,BENSONS TRADING CO PTY LTD,False
Snoopy,30.0,71.89,CHICANE MARKETING PTY LTD,False
Football Australia Matildas,30.0,62.82,CHICANE MARKETING PTY LTD,False
BIG Kit Kat,20.0,30.0,CHICANE MARKETING PTY LTD,False
Avengers Endgame,30.0,87.93,CHICANE MARKETING PTY LTD,False
Allen's Choc Classics,15.0,17.9,CHICANE MARKETING PTY LTD,False
Kinder Bueno,12.0,16.3,CHICANE MARKETING PTY LTD,False
Brain Blaster Bag,3.5,8.0,HUNTER LEISURE P/L,False
Candyworld 6 in 1 Bag,10.0,18.5,HUNTER LEISURE P/L,False
Mars® Super Bag,10.0,13.0,HUNTER LEISURE P/L,False
The Australian Women's Weekly,22.0,490.61,CHICANE MARKETING PTY LTD,True
Frozen II Dressup Bag,35.0,42.75,HUNTER LEISURE P/L,False
Call of Duty,32.0,86.45,BENSONS TRADING CO PTY LTD,False
Mega Swat,35.0,40.0,VERITAS MARKETING,False
Game of Thrones,32.0,62.6,BENSONS TRADING CO PTY LTD,False
The Wiggles Bag,30.0,50.7,HUNTER LEISURE P/L,False
Venom,30.0,76.93,CHICANE MARKETING PTY LTD,False
BIG Kit Kat,20.0,30.0,CHICANE MARKETING PTY LTD,False
Mega Dolls,35.0,60.0,VERITAS MARKETING,False
Mega Glamour,35.0,50.0,VERITAS MARKETING,False
Cadbury Dairy Milk Superbag,10.0,15.55,BENSONS TRADING CO PTY LTD,False
Bertie Beetle Gold,5.0,8.8,CHICANE MARKETING PTY LTD,False
marie claire,30.0,605.62,CHICANE MARKETING PTY LTD,True
Aero ($6 each OR 3 for $15 Range),6.0,8.4,CHICANE MARKETING PTY LTD,False
Sour Patch Kids,15.0,17.5,BENSONS TRADING CO PTY LTD,False
BUBS & TOTS,30.0,234.83,C&C MARKETING,True
AFL GWS Giants Showbag,30.0,97.9,CHICANE MARKETING PTY LTD,False
Gabby's Dollhouse Bag,35.0,46.6,HUNTER LEISURE P/L,False
PINK,30.0,87.89,CHICANE MARKETING PTY LTD,False
The Beatles,30.0,87.89,CHICANE MARKETING PTY LTD,False
Nobody's Bae,32.0,118.45,BENSONS TRADING CO PTY LTD,False
AG Bag - RAS Foundation,25.0,74.09,RAS FOUNDATION,False
Mega Fizz,5.0,10.9,BENSONS TRADING CO PTY LTD,False
Snoopy,30.0,71.89,CHICANE MARKETING PTY LTD,False
Football Australia Matildas,30.0,62.82,CHICANE MARKETING PTY LTD,False
Brain Blaster Bag,3.5,8.0,HUNTER LEISURE P/L,False
Call of Duty,32.0,86.45,BENSONS TRADING CO PTY LTD,False
Frozen II Cosmetic Bag,30.0,34.5,HUNTER LEISURE P/L,False
Darrell Lea Pig Out,25.0,30.0,VERITAS MARKETING,False
Sherbert Pops 'n Fizz,5.0,11.5,BENSONS TRADING CO PTY LTD,False
Cadbury Bumper Family Deal,25.0,30.75,BENSONS TRADING CO PTY LTD,False
Twisties Regular  Bag,6.0,9.77,HUNTER LEISURE P/L,False
Trolli Superbag,10.0,17.0,BENSONS TRADING CO PTY LTD,False
Army Bag,30.0,41.6,HUNTER LEISURE P/L,False
Sherbert Pops 'n Fizz,5.0,11.5,BENSONS TRADING CO PTY LTD,False
Cadbury Bumper Family Deal,25.0,30.75,BENSONS TRADING CO PTY LTD,False
Twisties Regular  Bag,6.0,9.77,HUNTER LEISURE P/L,False
Trolli Superbag,10.0,17.0,BENSONS TRADING CO PTY LTD,False
Army Bag,30.0,41.6,HUNTER LEISURE P/L,False
Mega Western,35.0,50.0,VERITAS MARKETING,False
Hello Kitty,32.0,64.6,BENSONS TRADING CO PTY LTD,False
Mega Pony,35.0,65.0,VERITAS MARKETING,False
Army,30.0,54.6,SHOWBAGS AUSTRALIA PTY LD,False
Fairy Girls,20.0,56.5,SHOWBAGS AUSTRALIA PTY LD,False
Mega Warheads,6.0,9.5,BENSONS TRADING CO PTY LTD,False
The Original Idiot,32.0,63.3,BENSONS TRADING CO PTY LTD,False
Darrell Lea Liquorice Lovers,25.0,30.0,VERITAS MARKETING,False
Mega Pony,35.0,65.0,VERITAS MARKETING,False
Cadbury Cherry Ripe Super,10.0,22.15,BENSONS TRADING CO PTY LTD,False
Fizzer,6.0,9.3,BENSONS TRADING CO PTY LTD,False
Mars® Regular Bag,6.0,6.5,HUNTER LEISURE P/L,False
Army,30.0,54.6,SHOWBAGS AUSTRALIA PTY LD,False
Fairy Girls,20.0,56.5,SHOWBAGS AUSTRALIA PTY LD,False
Mega Showbag,30.0,297.0,VERITAS MARKETING,False
Fizzer,6.0,9.3,BENSONS TRADING CO PTY LTD,False
Milkyway®  Regular Bag,6.0,6.5,HUNTER LEISURE P/L,False
Cadbury Big Bite,20.0,30.8,BENSONS TRADING CO PTY LTD,False
NRL Manly Sea Eagles,30.0,68.6,BENSONS TRADING CO PTY LTD,False
Mega Warheads,6.0,9.5,BENSONS TRADING CO PTY LTD,False
The Original Idiot,32.0,63.3,BENSONS TRADING CO PTY LTD,False
Mars® Regular Bag,6.0,6.5,HUNTER LEISURE P/L,False
Milkyway®  Regular Bag,6.0,6.5,HUNTER LEISURE P/L,False
NRL North Queensland Cowboys,30.0,68.6,BENSONS TRADING CO PTY LTD,False
Cadbury Big Bite,20.0,30.8,BENSONS TRADING CO PTY LTD,False
NRL Manly Sea Eagles,30.0,68.6,BENSONS TRADING CO PTY LTD,False
NRL North Queensland Cowboys,30.0,68.6,BENSONS TRADING CO PTY LTD,False
Darrell Lea Liquorice Lovers,25.0,30.0,VERITAS MARKETING,False
Cadbury Cherry Ripe Super,10.0,22.15,BENSONS TRADING CO PTY LTD,False
Warning Raging Sour,5.0,8.1,SHOWBAGS AUSTRALIA PTY LD,False
Warning Xtreme Sour,10.0,19.05,SHOWBAGS AUSTRALIA PTY LD,False
Fyna Mega Licorice,20.0,24.5,HUNTER LEISURE P/L,False
Fast & Furious,32.0,101.4,BENSONS TRADING CO PTY LTD,False
Pixar Bag,35.0,47.9,HUNTER LEISURE P/L,False
Mega Cars,35.0,65.0,VERITAS MARKETING,False
Mega Chef,35.0,50.0,VERITAS MARKETING,False
LOL Surprise #2,32.0,78.6,BENSONS TRADING CO PTY LTD,False
Nutella,22.0,38.9,CHICANE MARKETING PTY LTD,False
Kiss and Make Up,30.0,92.35,SHOWBAGS AUSTRALIA PTY LD,False
Sesame Street,32.0,57.65,BENSONS TRADING CO PTY LTD,False
All American Sours,25.0,40.2,SHOWBAGS AUSTRALIA PTY LD,False
Monster Jam,32.0,71.6,BENSONS TRADING CO PTY LTD,False
Tasty,32.0,391.89,CHICANE MARKETING PTY LTD,True
Total Girl magazine,28.0,103.68,C&C MARKETING,False
Rural Aid - For Our Mates In the Bush,18.0,180.63,C&C MARKETING,True
Sasy N Savy - Australia's Vegan Organic Skincare,30.0,178.0,C&C MARKETING,False
DB GIRL Cosmetics,25.0,91.88,C&C MARKETING,True
CHATIME - BUBBLE TEA lovers,30.0,83.9,C&C MARKETING,False
